"","plant","genotype","Pistil","Lateral stamen","Lateral stamen_1","Ventral stamen","Ventral stamen_1","Dorsal","D1","D2","lateral","ventral","tube","exertion","erkogamy"
"1","25","Ax",5.679,5.475,5.599,5.358,5.357,5.099,2.621,2.055,5.537,5.3575,4.676,1.003,0.142
"2","25","Ax",5.59,5.654,5.62,5.427,5.425,5.145,2.666,2.04,5.637,5.426,4.706,0.884,-0.047
"3","25","Ax",5.606,5.551,5.624,5.445,5.408,5.115,2.626,1.935,5.5875,5.4265,4.561,1.045,0.0185
"4","25","Ax",5.488,5.451,5.385,5.339,5.256,5.003,2.46,2.098,5.418,5.2975,4.558,0.93,0.07
"5","25","Ax",5.51,5.469,5.474,5.362,5.303,5.002,2.402,2.068,5.4715,5.3325,4.47,1.04,0.0385
"6","25","Ax",5.149,5.116,5.031,4.911,4.914,4.641,2.08,2.29,5.0735,4.9125,4.37,0.779,0.0755
"7","25","Ax",5.541,5.407,5.446,4.98,5.293,5.292,2.588,2.369,5.4265,5.1365,4.957,0.584,0.1145
"8","25","Ax",5.655,5.511,5.524,5.35,5.388,5.145,2.807,1.993,5.5175,5.369,4.8,0.855,0.1375
"9","25","Ax",5.056,4.894,4.74,4.597,4.636,4.38,2.113,1.836,4.817,4.6165,3.949,1.107,0.239
"10","25","Ax",5.669,5.462,5.441,5.346,5.34,5.003,2.796,1.887,5.4515,5.343,4.683,0.986,0.2175
"11","25","Ax",5.881,5.628,5.595,5.391,5.436,5.114,2.565,2.115,5.6115,5.4135,4.68,1.201,0.2695
"12","25","Ax",5.576,5.497,5.481,5.413,5.369,5.101,2.807,1.893,5.489,5.391,4.7,0.876,0.087
"13","25","Ax",5.574,5.435,5.444,5.324,5.304,5.045,2.562,2.085,5.4395,5.314,4.647,0.927,0.1345
"14","25","Ax",5.478,5.397,5.406,5.302,5.252,4.912,2.424,2.159,5.4015,5.277,4.583,0.895,0.0765
"15","25","Ax",5.551,5.582,5.555,5.43,5.391,5.162,2.573,2.244,5.5685,5.4105,4.817,0.734,-0.0175
"16","25","Ex",5.411,5.332,5.304,5.127,5.138,4.984,2.421,1.754,5.318,5.1325,4.175,1.236,0.093
"17","25","Ex",5.292,5.315,5.351,5.176,5.155,4.961,2.471,1.97,5.333,5.1655,4.441,0.851,-0.041
"18","25","Ex",5.745,5.478,5.465,5.329,5.339,5.181,2.504,2.115,5.4715,5.334,4.619,1.126,0.2735
"19","25","Ex",5.734,5.701,5.774,5.59,5.527,5.35,2.393,2.273,5.7375,5.5585,4.666,1.068,-0.0035
"20","25","Ex",5.391,5.332,5.334,5.223,5.215,5.104,2.341,2.008,5.333,5.219,4.349,1.042,0.058
"21","25","Ex",5.418,5.423,5.516,5.26,5.239,5.182,2.453,2.135,5.4695,5.2495,4.588,0.83,-0.0515
"22","25","Ex",5.476,5.329,5.345,5.269,5.244,5.063,2.476,2.321,5.337,5.2565,4.797,0.679,0.139
"23","25","Ex",5.442,5.239,5.233,5.004,4.999,4.906,2.432,1.947,5.236,5.0015,4.379,1.063,0.206
"24","25","Ex",5.562,5.478,5.533,5.371,5.365,5.268,2.581,2.111,5.5055,5.368,4.692,0.87,0.0565
"25","25","Ex",5.547,5.458,5.452,5.231,5.21,5.122,2.382,2.033,5.455,5.2205,4.415,1.132,0.092
"26","25","Ex",5.556,5.477,5.497,5.26,5.228,5.172,2.378,2.057,5.487,5.244,4.435,1.121,0.069
"27","25","Ex",5.418,5.284,5.307,5.21,5.209,4.938,2.394,2.314,5.2955,5.2095,4.708,0.71,0.1225
"28","25","Ex",5.408,5.345,5.328,5.238,5.218,5.018,2.335,2.521,5.3365,5.228,4.856,0.552,0.0715
"29","25","Ex",5.275,5.188,5.192,5.099,5.043,4.952,2.33,1.984,5.19,5.071,4.314,0.961,0.085
"30","25","Ex",5.593,5.503,5.527,5.371,5.315,5.256,2.333,2.227,5.515,5.343,4.56,1.033,0.078
"31","25","Ex",5.791,5.816,5.76,5.656,5.622,5.526,2.497,2.192,5.788,5.639,4.689,1.102,0.003
"32","26","Ax",5.69,5.666,5.667,5.501,5.461,5.236,2.617,2.32,5.6665,5.481,4.937,0.753,0.0235
"33","26","Ax",5,5,5,4,4,4,2,2,5,4,4,1,0
"34","26","Ax",5.786,5.657,5.696,5.554,5.607,5.243,2.75,2.154,5.6765,5.5805,4.904,0.882,0.1095
"35","26","Ax",5.625,5.512,5.529,5.34,5.366,5.074,2.578,1.883,5.5205,5.353,4.461,1.164,0.1045
"36","26","Ax",5.806,5.66,5.653,5.512,5.449,5.229,2.573,2.13,5.6565,5.4805,4.703,1.103,0.1495
"37","26","Ax",5.433,5.362,5.418,5.208,5.227,4.847,2.352,2.118,5.39,5.2175,4.47,0.963,0.043
"38","26","Ax",5.644,5.641,5.668,5.404,5.446,5.091,2.667,1.883,5.6545,5.425,4.55,1.094,-0.0105
"39","26","Ax",5.229,5.114,5.134,5.045,5.004,4.801,2.377,1.796,5.124,5.0245,4.173,1.056,0.105
"40","26","Ax",4.95,4.993,4.95,4.842,4.778,4.501,2.163,1.992,4.9715,4.81,4.155,0.795,-0.0215
"41","26","Ax",5.793,5.531,5.508,5.365,5.388,5.224,2.641,2.157,5.5195,5.3765,4.798,0.995,0.2735
"42","26","Ax",5.278,5.142,5.181,5.031,5,4.915,2.357,1.949,5.1615,5.0155,4.306,0.972,0.1165
"43","26","Ax",4.295,4.162,4.132,4.094,4.089,3.798,1.801,1.632,4.147,4.0915,3.433,0.862,0.148
"44","26","Ax",5.594,5.539,5.473,5.381,5.28,5.056,2.616,1.949,5.506,5.3305,4.565,1.029,0.088
"45","26","Ax",5.517,5.222,5.194,5.071,5.014,4.946,2.288,2.242,5.208,5.0425,4.53,0.987,0.309
"46","26","Ax",5.351,5.257,5.258,5.087,5.121,4.816,2.437,1.936,5.2575,5.104,4.373,0.978,0.0935
"47","26","Ax",5.414,5.42,5.378,5.231,5.193,4.867,2.292,2.098,5.399,5.212,4.39,1.024,0.015
"48","26","Ax",5.238,5.349,5.273,5.151,5.076,4.99,2.313,2.033,5.311,5.1135,4.346,0.892,-0.073
"49","26","Ex",5.412,5.36,5.279,5.195,5.203,5.119,2.477,2.23,5.3195,5.199,4.707,0.705,0.0925
"50","26","Ex",5.398,5.262,5.279,5.14,5.125,5.053,2.276,2.182,5.2705,5.1325,4.458,0.94,0.1275
"51","26","Ex",5.491,5.373,5.369,5.216,5.257,5.121,2.452,2.179,5.371,5.2365,4.631,0.86,0.12
"52","26","Ex",5.627,5.648,5.617,5.531,5.433,5.301,2.345,2.324,5.6325,5.482,4.669,0.958,-0.0055
"53","26","Ex",5.915,5.73,5.787,5.65,5.633,5.496,2.487,2.345,5.7585,5.6415,4.832,1.083,0.1565
"54","26","Ex",5.618,5.369,5.396,5.274,5.293,5.206,2.51,2.016,5.3825,5.2835,4.526,1.092,0.2355
"55","26","Ex",5.519,5.364,5.432,5.257,5.265,5.107,2.429,2.179,5.398,5.261,4.608,0.911,0.121
"56","26","Ex",5.265,5.341,5.336,5.106,4.992,4.938,2.335,2.056,5.3385,5.049,4.391,0.874,-0.0735
"57","26","Ex",5.299,5.326,5.344,5.037,5.036,4.854,2.25,1.997,5.335,5.0365,4.247,1.052,-0.036
"58","26","Ex",5.581,5.47,5.506,5.373,5.305,5.175,2.568,1.959,5.488,5.339,4.527,1.054,0.093
"59","26","Ex",5.487,5.365,5.406,5.258,5.26,5.164,2.415,2.109,5.3855,5.259,4.524,0.963,0.1015
"60","26","Ex",5.111,5.059,5.069,4.876,4.837,4.728,2.123,1.67,5.064,4.8565,3.793,1.318,0.047
"61","26","Ex",4.365,3.975,3.883,3.586,3.565,3.523,1.421,1.702,3.929,3.5755,3.123,1.242,0.436
"62","26","Ex",5.516,5.66,5.664,5.498,5.402,5.435,2.553,2.047,5.662,5.45,4.6,0.916,-0.146
"63","26","Ex",5.174,5.12,5.128,5.003,5.025,4.999,2.232,2.25,5.124,5.014,4.482,0.692,0.05
"64","26","Ex",5.182,5.209,5.14,5.016,5.168,4.918,2.217,1.948,5.1745,5.092,4.165,1.017,0.0075
"65","26","Ex",5.393,5.319,5.379,5.155,5.167,5.138,2.386,2.2,5.349,5.161,4.586,0.807,0.044
"66","26","Ex",5.316,5.305,5.391,5.275,5.275,5.138,2.351,2.089,5.348,5.275,4.44,0.876,-0.032
"67","26","Ex",5.496,5.466,5.494,5.321,5.346,5.243,2.415,2.106,5.48,5.3335,4.521,0.975,0.016
"68","26","Ex",5.358,5.104,5.147,4.931,5.045,4.899,2.186,1.995,5.1255,4.988,4.181,1.177,0.2325
"69","26","Ex",5.31,5.208,5.287,5.118,5.145,4.977,2.317,1.891,5.2475,5.1315,4.208,1.102,0.0625
"70","27","Ax",5.555,5.236,5.186,5.068,5.087,5.003,2.291,2.112,5.211,5.0775,4.403,1.152,0.344
"71","27","Ax",5.218,5.15,5.094,4.967,4.969,4.78,2.26,2.076,5.122,4.968,4.336,0.882,0.096
"72","27","Ax",5.538,5.284,5.254,5.159,5.152,5.015,2.302,2.089,5.269,5.1555,4.391,1.147,0.269
"73","27","Ax",5.071,5.032,5.07,4.92,4.868,4.723,2.107,2.276,5.051,4.894,4.383,0.688,0.02
"74","27","Ax",5.25,5.15,5.181,5.104,5.066,4.82,2.269,2.177,5.1655,5.085,4.446,0.804,0.0845
"75","27","Ax",5.646,5.363,5.436,5.203,5.205,5.064,2.333,2.19,5.3995,5.204,4.523,1.123,0.2465
"76","27","Ax",5.594,5.38,5.341,5.179,5.151,4.933,2.252,2.214,5.3605,5.165,4.466,1.128,0.2335
"77","27","Ax",4.989,5.008,4.896,4.731,4.757,4.611,1.973,2.109,4.952,4.744,4.082,0.907,0.037
"78","27","Ax",5.235,5.099,5.125,5.023,4.97,4.769,2.227,2.183,5.112,4.9965,4.41,0.825,0.123
"79","27","Ax",4.667,4.818,4.742,4.507,4.514,4.302,1.781,2.354,4.78,4.5105,4.135,0.532,-0.113
"80","27","Ax",5.535,5.369,5.386,5.218,5.181,5.198,2.292,2.246,5.3775,5.1995,4.538,0.997,0.1575
"81","27","Ax",5.368,5.393,5.376,5.186,5.209,5.072,2.277,2.04,5.3845,5.1975,4.317,1.051,-0.0165
"82","27","Ax",5.51,5.404,5.376,5.264,5.274,5.092,2.324,2.305,5.39,5.269,4.629,0.881,0.12
"83","27","Ax",5.468,5.425,5.439,5.302,5.343,5.192,2.368,2.414,5.432,5.3225,4.782,0.686,0.036
"84","27","Ax",5.541,5.486,5.463,5.235,5.277,5.086,2.324,2.098,5.4745,5.256,4.422,1.119,0.0665
"85","27","Ax",5.594,5.42,5.41,5.201,5.187,5.021,2.322,2.206,5.415,5.194,4.528,1.066,0.179
"86","27","Ex",5.5,5.312,5.37,5.249,5.225,5.071,2.325,2.245,5.341,5.237,4.57,0.93,0.159
"87","27","Ex",5.346,5.279,5.289,5.012,5.055,4.912,2.346,1.967,5.284,5.0335,4.313,1.033,0.062
"88","27","Ex",5.554,5.492,5.473,5.338,5.348,5.244,2.452,2.16,5.4825,5.343,4.612,0.942,0.0715
"89","27","Ex",4.935,5.388,5.446,5.197,5.261,5.097,2.324,2.117,5.417,5.229,4.441,0.494,-0.482
"90","27","Ex",5.446,5.568,5.462,5.302,5.284,5.173,2.458,1.874,5.515,5.293,4.332,1.114,-0.069
"91","27","Ex",5.259,5.118,5.103,4.931,4.912,4.689,2.225,2.111,5.1105,4.9215,4.336,0.923,0.1485
"92","27","Ex",5.771,5.369,5.338,5.165,5.214,5.026,2.464,2.085,5.3535,5.1895,4.549,1.222,0.4175
"93","27","Ex",5.409,5.228,5.263,5.141,5.111,5.022,2.423,2.094,5.2455,5.126,4.517,0.892,0.1635
"94","27","Ex",5.276,5.039,5.045,4.967,4.839,4.776,2.378,1.893,5.042,4.903,4.271,1.005,0.234
"95","27","Ex",5.601,5.337,5.236,5.172,5.153,4.966,2.371,2,5.2865,5.1625,4.371,1.23,0.3145
"96","27","Ex",5.329,5.19,5.124,4.989,4.979,4.892,2.204,1.994,5.157,4.984,4.198,1.131,0.172
"97","27","Ex",5.45,5.453,5.495,5.268,5.247,5.171,2.313,2.161,5.474,5.2575,4.474,0.976,-0.024
"98","27","Ex",5.334,5.119,5.178,4.999,4.868,4.925,2.351,2.09,5.1485,4.9335,4.441,0.893,0.1855
"99","27","Ex",5.291,5.152,5.158,5.09,5.021,4.836,2.335,2.132,5.155,5.0555,4.467,0.824,0.136
"100","27","Ex",5.312,5.1,5.104,4.978,4.859,4.815,2.113,2.08,5.102,4.9185,4.193,1.119,0.21
"101","27","Ex",5.441,5.33,5.357,5.206,5.158,5.09,2.329,1.945,5.3435,5.182,4.274,1.167,0.0975
"102","27","Ex",5.254,5.096,5.129,4.901,4.875,4.736,2.196,1.952,5.1125,4.888,4.148,1.106,0.1415
"103","27","Ex",5.072,5.008,4.994,4.687,4.793,4.78,2.21,1.779,5.001,4.74,3.989,1.083,0.071
"104","28","Ax",4.663,4.339,4.315,4.287,4.255,3.994,1.924,1.8,4.327,4.271,3.724,0.939,0.336
"105","28","Ax",4.943,4.602,4.557,4.515,4.472,4.201,2.204,1.764,4.5795,4.4935,3.968,0.975,0.3635
"106","28","Ax",4.947,4.802,4.722,4.608,4.621,4.433,2.36,1.711,4.762,4.6145,4.071,0.876,0.185
"107","28","Ax",4.689,4.393,4.476,4.33,4.34,4.117,2.076,1.852,4.4345,4.335,3.928,0.761,0.2545
"108","28","Ax",4.662,4.5,4.48,4.31,4.389,4.116,1.97,1.579,4.49,4.3495,3.549,1.113,0.172
"109","28","Ax",5.173,4.733,4.661,4.58,4.499,4.345,2.096,1.685,4.697,4.5395,3.781,1.392,0.476
"110","28","Ax",4.644,4.605,4.621,4.452,4.516,4.369,2.26,1.752,4.613,4.484,4.012,0.632,0.031
"111","28","Ax",4.763,4.456,4.479,4.487,4.474,4.087,2.147,1.86,4.4675,4.4805,4.007,0.756,0.2955
"112","28","Ax",5.558,5.486,5.45,5.322,5.311,5.025,2.716,2.004,5.468,5.3165,4.72,0.838,0.09
"113","28","Ax",4.843,4.692,4.667,4.668,4.607,4.295,2.301,1.81,4.6795,4.6375,4.111,0.732,0.1635
"114","28","Ax",4.749,4.581,4.615,4.495,4.431,4.194,2.139,2.019,4.598,4.463,4.158,0.591,0.151
"115","28","Ax",4.727,4.534,4.543,4.452,4.388,4.274,2.121,1.802,4.5385,4.42,3.923,0.804,0.1885
"116","28","Ax",4.543,4.501,4.541,4.278,4.459,4.169,2.029,1.86,4.521,4.3685,3.889,0.654,0.022
"117","28","Ax",4.924,4.644,4.652,4.529,4.562,4.317,2.196,1.817,4.648,4.5455,4.013,0.911,0.276
"118","28","Ax",4.721,4.564,4.557,4.46,4.49,4.227,2.041,1.719,4.5605,4.475,3.76,0.961,0.1605
"119","28","Ax",4.801,4.68,4.681,4.518,4.571,4.347,2.234,1.685,4.6805,4.5445,3.919,0.882,0.1205
"120","28","Ax",4.725,4.415,4.51,4.294,4.363,4.098,1.959,1.776,4.4625,4.3285,3.735,0.99,0.2625
"121","28","Ax",4.624,4.194,4.274,4.062,4.036,3.84,1.869,1.651,4.234,4.049,3.52,1.104,0.39
"122","28","Ex",5.848,5.7,5.697,5.566,5.558,5.368,2.752,2.147,5.6985,5.562,4.899,0.949,0.1495
"123","28","Ex",5.642,5.428,5.439,5.243,5.331,4.992,2.666,2.043,5.4335,5.287,4.709,0.933,0.2085
"124","28","Ex",5.266,5.093,5.116,4.956,4.949,4.894,2.372,2.001,5.1045,4.9525,4.373,0.893,0.1615
"125","28","Ex",5.387,5.289,5.274,5.102,5.162,4.871,2.457,2.057,5.2815,5.132,4.514,0.873,0.1055
"126","28","Ex",5.519,5.375,5.366,5.184,5.153,5.085,2.331,2.103,5.3705,5.1685,4.434,1.085,0.1485
"127","28","Ex",5.149,5.112,5.088,4.944,4.933,4.808,2.313,2.027,5.1,4.9385,4.34,0.809,0.049
"128","28","Ex",5.219,5.219,5.287,5.072,5.023,4.849,2.505,2.011,5.253,5.0475,4.516,0.703,-0.034
"129","28","Ex",5.554,5.471,5.437,5.325,5.31,4.983,2.603,2.084,5.454,5.3175,4.687,0.867,0.1
"130","28","Ex",5.406,5.434,5.428,5.259,5.217,4.984,2.638,2.009,5.431,5.238,4.647,0.759,-0.025
"131","28","Ex",5.594,5.553,5.555,5.36,5.329,5.074,2.573,1.858,5.554,5.3445,4.431,1.163,0.04
"132","28","Ex",5.81,5.488,5.468,5.335,5.275,5.096,2.68,1.92,5.478,5.305,4.6,1.21,0.332
"133","28","Ex",5.62,5.388,5.411,5.282,5.228,5.016,2.646,1.945,5.3995,5.255,4.591,1.029,0.2205
"134","28","Ex",5.522,5.522,5.56,5.406,5.366,5.147,2.712,1.855,5.541,5.386,4.567,0.955,-0.019
"135","28","Ex",5.518,5.551,5.593,5.363,5.341,5.034,2.684,1.997,5.572,5.352,4.681,0.837,-0.054
"136","28","Ex",5.317,5.492,5.506,5.278,5.264,5.056,2.505,1.959,5.499,5.271,4.464,0.853,-0.182
"137","29","Ax",5.182,5.072,5.048,4.886,4.892,4.732,2.296,1.96,5.06,4.889,4.256,0.926,0.122
"138","29","Ax",5.146,5.01,4.982,4.863,4.854,4.691,2.322,1.851,4.996,4.8585,4.173,0.973,0.15
"139","29","Ax",5.115,5.078,5.191,4.965,4.918,4.767,2.216,1.894,5.1345,4.9415,4.11,1.005,-0.0195
"140","29","Ax",4.859,4.851,4.817,4.696,4.721,4.526,2.111,1.892,4.834,4.7085,4.003,0.856,0.025
"141","29","Ax",5.1,5.135,4.974,4.95,4.954,4.637,2.242,1.909,5.0545,4.952,4.151,0.949,0.0455
"142","29","Ax",5.081,5.111,5.052,4.949,4.959,4.674,2.143,2.135,5.0815,4.954,4.278,0.803,-5e-04
"143","29","Ax",4.852,4.77,4.731,4.609,4.649,4.507,2.22,1.873,4.7505,4.629,4.093,0.759,0.1015
"144","29","Ax",5.092,5.031,5.062,4.917,4.926,4.795,2.367,1.922,5.0465,4.9215,4.289,0.803,0.0455
"145","29","Ax",5.082,4.966,5.028,4.856,4.854,4.668,2.241,1.853,4.997,4.855,4.094,0.988,0.085
"146","29","Ax",4.946,4.873,4.793,4.723,4.626,4.588,2.228,1.872,4.833,4.6745,4.1,0.846,0.113
"147","29","Ax",4.906,4.868,4.817,4.726,4.686,4.489,2.218,1.842,4.8425,4.706,4.06,0.846,0.0635
"148","29","Ax",4.01,4.686,4.711,4.645,4.589,4.409,2.227,1.626,4.6985,4.617,3.853,0.157,-0.6885
"149","29","Ax",5.007,4.913,4.934,4.84,4.837,4.629,2.352,1.942,4.9235,4.8385,4.294,0.713,0.0835
"150","29","Ax",5.049,4.956,5.005,4.914,4.825,4.67,2.145,2.064,4.9805,4.8695,4.209,0.84,0.0685
"151","29","Ax",5.054,4.882,4.928,4.82,4.851,4.686,2.091,2.074,4.905,4.8355,4.165,0.889,0.149
"152","29","Ax",5.034,5.039,5.017,4.867,4.876,4.661,2.194,1.816,5.028,4.8715,4.01,1.024,0.006
"153","29","Ax",4.91,5.006,4.979,4.781,4.805,4.609,2.147,1.913,4.9925,4.793,4.06,0.85,-0.0825
"154","29","Ex",5.406,5.264,5.256,5.111,5.105,4.911,2.51,2.237,5.26,5.108,4.747,0.659,0.146
"155","29","Ex",5.31,5.252,5.221,5.142,5.185,4.921,2.466,1.895,5.2365,5.1635,4.361,0.949,0.0735
"156","29","Ex",5.723,5.502,5.448,5.263,5.298,5.165,2.573,1.963,5.475,5.2805,4.536,1.187,0.248
"157","29","Ex",5.53,5.329,5.411,5.252,5.197,5.163,2.342,2.091,5.37,5.2245,4.433,1.097,0.16
"158","29","Ex",5.413,5.189,5.254,5.079,5.081,4.904,2.305,2.096,5.2215,5.08,4.401,1.012,0.1915
"159","29","Ex",5.488,5.313,5.339,5.167,5.169,5.02,2.504,1.921,5.326,5.168,4.425,1.063,0.162
"160","29","Ex",5.468,5.505,5.528,5.449,5.469,5.298,2.536,2.066,5.5165,5.459,4.602,0.866,-0.0485
"161","29","Ex",5.423,5.385,5.405,5.287,5.244,5.138,2.404,2.373,5.395,5.2655,4.777,0.646,0.028
"162","29","Ex",5.362,5.273,5.25,5.142,5.143,5.064,2.481,1.848,5.2615,5.1425,4.329,1.033,0.1005
"163","29","Ex",5.567,5.412,5.46,5.315,5.334,5.193,2.446,2.196,5.436,5.3245,4.642,0.925,0.131
"164","29","Ex",5.226,5.254,5.205,5.103,5.076,4.935,2.28,1.934,5.2295,5.0895,4.214,1.012,-0.0035
"165","29","Ex",5.316,5.301,5.278,5.166,5.138,5.037,2.352,2.319,5.2895,5.152,4.671,0.645,0.0265
"166","29","Ex",5.443,5.264,5.401,5.167,5.173,5.06,2.439,2.231,5.3325,5.17,4.67,0.773,0.1105
"167","29","Ex",5.706,5.594,5.549,5.459,5.47,5.317,2.645,2.013,5.5715,5.4645,4.658,1.048,0.1345
"168","29","Ex",5.557,5.411,5.404,5.273,5.265,5.119,2.485,2.151,5.4075,5.269,4.636,0.921,0.1495
"169","29","Ex",5.585,5.532,5.525,5.428,5.398,5.284,2.522,2.125,5.5285,5.413,4.647,0.938,0.0565
"170","30","Ax",5.202,4.888,4.866,4.757,4.779,4.531,2.272,1.895,4.877,4.768,4.167,1.035,0.325
"171","30","Ax",4.8,4.934,4.881,4.751,4.712,4.535,2.3,1.835,4.9075,4.7315,4.135,0.665,-0.1075
"172","30","Ax",5.038,4.893,4.918,4.759,4.787,4.645,2.295,1.829,4.9055,4.773,4.124,0.914,0.1325
"173","30","Ax",4.968,4.857,4.812,4.714,4.665,4.415,2.192,1.81,4.8345,4.6895,4.002,0.966,0.1335
"174","30","Ax",4.945,4.863,4.92,4.716,4.822,4.51,2.332,1.613,4.8915,4.769,3.945,1,0.0535
"175","30","Ax",4.791,4.72,4.672,4.546,4.526,4.317,2.093,1.646,4.696,4.536,3.739,1.052,0.095
"176","30","Ax",4.748,4.534,4.456,4.649,4.419,4.219,2.028,1.797,4.495,4.534,3.825,0.923,0.253
"177","30","Ax",4.261,4.028,3.986,4.004,3.77,3.596,1.599,1.645,4.007,3.887,3.244,1.017,0.254
"178","30","Ax",4.447,4.143,4.167,3.999,4.016,3.92,1.766,1.624,4.155,4.0075,3.39,1.057,0.292
"179","30","Ax",3.474,3.321,3.358,3.195,3.064,3.033,1.275,1.326,3.3395,3.1295,2.601,0.873,0.1345
"180","30","Ax",4.925,4.691,4.705,4.662,4.627,4.449,2.26,1.631,4.698,4.6445,3.891,1.034,0.227
"181","30","Ax",4.694,4.61,4.656,4.481,4.538,4.25,2.216,1.834,4.633,4.5095,4.05,0.644,0.061
"182","30","Ax",4.455,4.419,4.422,4.331,4.282,4.102,2.092,1.66,4.4205,4.3065,3.752,0.703,0.0345
"183","30","Ax",4.763,4.616,4.728,4.559,4.537,4.262,2.071,1.692,4.672,4.548,3.763,1,0.091
"184","30","Ax",4.72,4.644,4.555,4.354,4.475,4.123,2.07,1.759,4.5995,4.4145,3.829,0.891,0.1205
"185","30","Ex",5.512,5.296,5.274,5.156,5.121,4.96,2.349,2.043,5.285,5.1385,4.392,1.12,0.227
"186","30","Ex",5.265,5.105,5.08,4.909,4.949,4.816,2.221,2.018,5.0925,4.929,4.239,1.026,0.1725
"187","30","Ex",5.285,5.171,5.139,4.993,5.025,4.828,2.068,2.228,5.155,5.009,4.296,0.989,0.13
"188","30","Ex",5.569,5.446,5.501,5.336,5.375,5.058,2.353,2.133,5.4735,5.3555,4.486,1.083,0.0955
"189","30","Ex",5.233,5.177,5.21,5.038,5.05,4.87,2.253,1.986,5.1935,5.044,4.239,0.994,0.0395
"190","30","Ex",5.347,5.226,5.246,5.046,4.998,4.919,2.147,2.141,5.236,5.022,4.288,1.059,0.111
"191","30","Ex",5.537,5.383,5.437,5.283,5.278,5.145,2.465,2.222,5.41,5.2805,4.687,0.85,0.127
"192","30","Ex",5.038,4.942,5.005,4.697,4.718,4.632,1.983,2.339,4.9735,4.7075,4.322,0.716,0.0645
"193","30","Ex",5.311,5.209,5.14,5.129,5.111,4.824,2.326,2.019,5.1745,5.12,4.345,0.966,0.1365
"194","30","Ex",5.332,5.186,5.204,4.975,5.073,4.866,2.182,2.333,5.195,5.024,4.515,0.817,0.137
"195","30","Ex",4.994,5.108,5.07,4.836,4.853,4.737,2.207,1.917,5.089,4.8445,4.124,0.87,-0.095
"196","30","Ex",5.589,5.324,5.287,5.112,5.232,5.058,2.34,2.189,5.3055,5.172,4.529,1.06,0.2835
"197","30","Ex",5.304,5.208,5.276,5.031,5.016,4.712,2.207,2.14,5.242,5.0235,4.347,0.957,0.062
"198","30","Ex",5.528,5.365,5.313,5.24,5.204,5.009,2.278,2.24,5.339,5.222,4.518,1.01,0.189
"199","30","Ex",5.522,5.37,5.423,5.167,5.191,5.069,2.388,2.141,5.3965,5.179,4.529,0.993,0.1255
"200","30","Ex",5.289,5.32,5.309,5.178,5.17,4.928,2.233,2.21,5.3145,5.174,4.443,0.846,-0.0255
"201","31","Ax",5.155,4.959,4.886,4.837,4.825,4.651,2.364,1.919,4.9225,4.831,4.283,0.872,0.2325
"202","31","Ax",5.069,4.789,4.807,4.656,4.685,4.542,2.153,2.082,4.798,4.6705,4.235,0.834,0.271
"203","31","Ax",5.044,4.731,4.74,4.583,4.602,4.428,2.22,1.863,4.7355,4.5925,4.083,0.961,0.3085
"204","31","Ax",5.093,4.962,4.94,4.884,4.806,4.664,2.268,1.892,4.951,4.845,4.16,0.933,0.142
